prev_chapter,prev_section,prev_cg,next_chapter,next_section,next_cg
分與合,,1-n-04,10以內的加法,,1-n-04
10以內的加法,,"1-n-04,1-n-05",10以內的減法,,"1-n-04,1-n-05"
10以內的減法,,"1-n-04,1-n-05",20以內的加法,,"1-n-04,1-n-05"
20 以內的數,,1-n-01,100以內的數,,1-n-01
20以內的加法,,"1-n-04,1-n-05",20以內的減法,,"1-n-04,1-n-05"
200 以內的數,,2-n-01,二位數的直式加法,,2-n-01
二位數的直式加法,,"2-n-04,2-n-01",二位數的直式減法,,"2-n-04,2-n-01"
二位數的直式減法,,2-n-01,1000 以內的數,,2-n-01
二位數的直式減法,,2-n-04,1000 以內的加減,,2-n-04
1000 以內的數,,2-n-01,1000 以內的加減,,2-n-01
加減應用,,1-n-06,2、5、10 的乘法,,1-n-06
2、5、10 的乘法,,"2-n-08,2-n-06,1-n-06",0、1、4 的乘法,,"2-n-08,2-n-06,1-n-06"
0、1、4 的乘法,,"2-n-08,2-n-06,1-n-06",3、6、9 的乘法,,"2-n-08,2-n-06,1-n-06"
3、6、9 的乘法,,"2-n-08,2-n-06,1-n-06",7、8 的乘法,,"2-n-08,2-n-06,1-n-06"
整數數線,認識數線,3-n-09,整數數線,在數線上向左右移動,3-n-09
整數數線,在數線上向左右移動,3-n-09,整數數線,數間隔,3-n-09
整數數線,數間隔,3-n-09,整數數線,在數線上做大小比較,3-n-09
整數數線,在數線上做大小比較,3-n-09,整數數線,在數線上做加減,3-n-09
整數數線,在數線上做加減,3-n-09,一位小數,一位小數與數線,3-n-09
10000 以內的數,10000 以內的數的讀寫,3-n-01,10000 以內的數,過十、過百和過千,3-n-01
10000 以內的數,過十、過百和過千,3-n-01,10000 以內的數,認識錢幣和錢幣的應用,3-n-01
10000 以內的數,認識錢幣和錢幣的應用,3-n-01,10000 以內的數,數的大小比較,3-n-01
10000 以內的加減,10000 以內的加法,3-n-02,10000 以內的加減,10000 以內的減法,3-n-02
10000 以內的加減,10000 以內的減法,3-n-02,10000 以內的加減,應用問題,3-n-02
乘法的直式計算,十、百的乘法,3-n-04,乘法的直式計算,不進位乘法,3-n-04
乘法的直式計算,不進位乘法,3-n-04,乘法的直式計算,進位乘法,3-n-04
乘法的直式計算,進位乘法,3-n-04,乘法的直式計算,乘以一位數的應用,3-n-04
乘法的直式計算,乘以一位數的應用,3-n-04,乘法-倍數與整十、整百倍,乘法與倍數,3-n-04
加減併式與估算,三個數的加減計算,3-n-03,加減併式與估算,連加併式,3-n-03
加減併式與估算,連加併式,3-n-03,加減併式與估算,連減併式,3-n-03
加減併式與估算,連減併式,3-n-03,加減併式與估算,加減混合併式,3-n-03
認識除法,除法算式,3-n-05,認識除法,有餘數的除法,3-n-05
認識除法,有餘數的除法,3-n-05,認識除法,除法的直式計算,3-n-05
認識除法,除法的直式計算,3-n-05,認識除法,餘數與奇數、偶數,3-n-05
認識除法,除法的直式計算,3-n-05,認識除法,除法的應用,3-n-05
乘法-倍數與整十、整百倍,乘法與倍數,3-n-04,乘法-倍數與整十、整百倍,整十、整百倍,3-n-04
乘法-倍數與整十、整百倍,整十、整百倍,3-n-04,乘法-倍數與整十、整百倍,倍數與整十、整百倍的應用,3-n-04
除以一位數,兩位數除以一位數,3-n-06,除以一位數,三位數除以一位數,3-n-06
除以一位數,三位數除以一位數,3-n-06,除以一位數,應用問題,3-n-06
一億以內的數,十萬以內的數,4-n-01,一億以內的數,一億以內的數,4-n-01
一億以內的數,一億以內的數,4-n-01,一億以內的數,大數的加減,4-n-01
一億以內的數,大數的加減,4-n-01,一億以上的數,認識一億以上的數,4-n-01
一億以內的數,大數的加減,5-a-04,列式與解題,,5-a-04
整數的乘法,乘數為一位數,4-n-03,整數的乘法,乘數為二位數,4-n-03
整數的乘法,乘數為二位數,4-n-03,整數的乘法,一、二位數乘以三位數,4-n-03
整數的乘法,一、二位數乘以三位數,4-n-03,整數的乘法,整數乘法的應用,4-n-03
整數的除法,四位數除以一位數,4-n-03,整數的除法,二位數除以二位數,4-n-03
整數的除法,二位數除以二位數,4-n-03,整數的除法,三位數除以二位數,4-n-03
整數的除法,三位數除以二位數,4-n-03,整數的除法,整數除法的應用,4-n-03
多位數的乘除,乘數是三位數的乘法,5-n-01,多位數的乘除,末位是 0 的乘法,5-n-01
多位數的乘除,三、四位數除以三位數,5-n-01,多位數的乘除,末位是 0 的除法,5-n-01
一億以上的數,認識一億以上的數,4-n-01,一億以上的數,十進位結構,4-n-01
一億以上的數,十進位結構,4-n-01,一億以上的數,大數的比較與加減,4-n-01
一億以上的數,大數的比較與加減,4-n-01,十進位的位值系統,十進位系統,4-n-01
十進位的位值系統,十進位系統,"4-n-01,5-n-10",十進位的位值系統,數的展開式,"4-n-01,5-n-10"
十進位的位值系統,數的展開式,5-n-10,十進位的位值系統,乘以10、100和除以10、100,5-n-10
十進位的位值系統,乘以10、100和除以10、100,5-n-10,多位小數的加減,多位小數,5-n-10
概數,無條件進入,4-n-06,概數,無條件捨去,4-n-06
概數,無條件捨去,4-n-06,概數,四捨五入,4-n-06
概數,四捨五入,4-n-06,概數,概數的應用,4-n-06
認識分數,什麼是平分,3-n-11,認識分數,認識單位分數,3-n-11
認識分數,認識單位分數,3-n-11,認識分數,幾分之幾,3-n-11
認識分數,幾分之幾,3-n-11,認識分數,有幾個單位分數,3-n-11
認識分數,有幾個單位分數,3-n-11,同分母分數加減,分數的大小比較,3-n-11
同分母分數加減,分數的大小比較,3-n-11,同分母分數加減,分數的加、減法,3-n-11
同分母分數加減,分數的加、減法,3-n-11,同分母分數加減,分數與量,3-n-11
帶分數與假分數,真分數、假分數、帶分數,4-n-08,帶分數與假分數,分數的大小比較,4-n-08
帶分數與假分數,分數的大小比較,4-n-08,分數的加減與整數倍,分數的加減,4-n-08
分數的加減與整數倍,分數的加減,4-n-08,分數的加減與整數倍,分數的整數倍,4-n-08
等值分數,用分數牆認識等值分數,4-n-09,等值分數,等值分數,4-n-09
等值分數,等值分數,4-n-09,等值分數,異分母分數比大小,4-n-09
等值分數,異分母分數比大小,4-n-09,等值分數,分數和小數的互換,4-n-09
等值分數,分數和小數的互換,4-n-09,二位小數,小數和分數,4-n-09
等值分數,分數和小數的互換,4-n-10,數線與分數,分數的數線,4-n-10
整數相除之分數表示,,4-n-07,整數、分數除以整數,整數除以整數,4-n-07
數線與分數,分數的數線,4-n-10,擴分、約分和通分,分數數線,4-n-10
擴分、約分和通分,擴分和等值分數,5-n-06,擴分、約分和通分,約分和等值分數,5-n-06
擴分、約分和通分,通分和分數的大小比較,5-n-07,異分母分數的加減,異分母分數的加法,5-n-07
異分母分數的加減,異分母分數的加法,5-n-07,異分母分數的加減,異分母分數的減法,5-n-07
異分母分數的加減,異分母分數的減法,5-n-07,異分母分數的加減,異分母分數的加減應用,5-n-07
分數的乘法,分數乘以整數,5-n-08,分數的乘法,整數乘以分數,5-n-08
分數的乘法,整數乘以分數,5-n-08,分數的乘法,分數乘以分數,5-n-08
分數的乘法,分數乘以分數,5-n-08,分數的乘法,運用分數乘法解題,5-n-08
分數的乘法,運用分數乘法解題,5-n-08,分數的乘法,分數倍,5-n-08
分數的乘法,分數倍,5-n-08,分數的乘法,被乘數、乘數和積的關係,5-n-08
整數、分數除以整數,分數除以整數,5-n-09,整數、分數除以整數,解題,5-n-09
整數、分數除以整數,解題,5-n-09,整數、分數除以整數,時間的換算,5-n-09
分數的除法,分數除法的意義,6-n-04,分數的除法,利用分數除法解題,6-n-04
分數的除法,利用分數除法解題,6-n-04,分數的除法,乘除互逆,6-n-04
分數的除法,乘除互逆,6-n-04,分數的除法,乘法和除法的應用,6-n-04
比與比值,比和比值,6-n-09,比與比值,相等的比(1),6-n-09
比與比值,相等的比(1),6-n-09,比與比值,相等的比(2),6-n-09
比與比值,相等的比(2),6-n-09,比與比值,解題,6-n-09
比與比值,解題,6-n-09,基準量與比較量,認識基準量與比較量,6-n-09
正比,正比關係,6-n-10,正比,正比關係圖,6-n-10
一位小數,認識一位小數,3-n-12,一位小數,一位小數與量,3-n-12
一位小數,一位小數與量,3-n-12,一位小數,一位小數的大小比較,3-n-12
一位小數,一位小數的大小比較,3-n-12,一位小數,一位小數的加、減法,3-n-12
一位小數,一位小數的加、減法,3-n-12,一位小數,一位小數的加減併式,3-n-12
二位小數,二位小數,4-n-11,二位小數,二位小數與量,4-n-11
二位小數,小數和分數,4-n-09,整數、小數除以整數,分數和小數的互換,4-n-09
二位小數,小數的加減,4-n-12,小數乘以整數,乘以一位整數,4-n-12
小數乘以整數,乘以一位整數,4-n-12,小數乘以整數,乘以二位整數,4-n-12
小數乘以整數,乘以二位整數,4-n-12,小數乘以整數,小數乘法的應用,4-n-12
多位小數的加減,多位小數,5-n-10,多位小數的加減,小數的比較和加減,5-n-10
多位小數的加減,小數的比較和加減,5-n-10,小數的乘法,小數的整數倍,5-n-10
多位小數的加減,複習整數數線,5-n-13,多位小數的加減,小數數線,5-n-13
多位小數的加減,小數數線,5-n-13,多位小數的加減,在數線上標示分數與小數,5-n-13
小數的乘法,整數乘以小數,5-n-11,小數的乘法,單位小數相乘,5-n-11
小數的乘法,單位小數相乘,5-n-11,小數的乘法,小數乘以小數,5-n-11
小數的乘法,小數乘以小數,5-n-11,小數的乘法,小數乘法的應用,5-n-11
整數、小數除以整數,整數除以整數,5-n-12,整數、小數除以整數,分數和小數的互換,5-n-12
整數、小數除以整數,分數和小數的互換,5-n-12,整數、小數除以整數,小數除以整數,5-n-12
比率與百分率,認識比率,5-n-14,比率與百分率,解題,5-n-14
比率與百分率,解題,5-n-14,比率與百分率,認識百分率,5-n-14
比率與百分率,認識百分率,5-n-14,比率與百分率,百分率的應用(1),5-n-14
比率與百分率,百分率的應用(1),5-n-14,比率與百分率,百分率的應用(2),5-n-14
小數的除法,小數除以小數,6-n-06,小數的除法,解題,6-n-06
小數的除法,解題,6-n-06,小數的除法,有餘數的小數除法,6-n-06
小數的除法,有餘數的小數除法,6-n-06,小數的除法,單位換算,6-n-06
小數的除法,單位換算,6-n-06,小數的除法,被除數、除數和商的關係,6-n-06
估算,小數的四捨五入,6-n-07,估算,整數與小數的估算,6-n-07
因數與公因數,因數,5-n-04,倍數與公倍數,倍數,5-n-04
因數與公因數,公因數,5-n-05,因數與公因數,最大公因數,5-n-05
因數與公因數,最大公因數,5-n-05,倍數與公倍數,公倍數,5-n-05
倍數與公倍數,倍數,5-n-04,倍數與公倍數,判別 2、3、5、10 的倍數,5-n-04
倍數與公倍數,公倍數,5-n-05,倍數與公倍數,最小公倍數,5-n-05
倍數與公倍數,最小公倍數,5-n-05,倍數與公倍數,運用最大公因數和最小公倍數解題,5-n-05
質因數分解與短除法,質數與合數,6-n-01,質因數分解與短除法,質因數,6-n-01
質因數分解與短除法,質因數,6-n-01,質因數分解與短除法,質因數分解,6-n-01
質因數分解與短除法,最大公因數,6-n-03,質因數分解與短除法,最簡分數,6-n-03
質因數分解與短除法,最大公因數,6-n-02,質因數分解與短除法,利用最大公因數解題,6-n-02
質因數分解與短除法,利用最大公因數解題,6-n-02,質因數分解與短除法,最小公倍數,6-n-02
質因數分解與短除法,最小公倍數,6-n-02,質因數分解與短除法,利用最小公倍數解題,6-n-02
毫米,認識毫米,3-n-14,毫米,公尺、公分、毫米的換算與比較,3-n-14
毫米,公尺、公分、毫米的換算與比較,3-n-14,毫米,公分、毫米的加、減法,3-n-14
公里,認識公里,4-n-15,公里,公里與公分的換算,4-n-15
公里,公里與公分的換算,4-n-15,公里,公里的應用,4-n-15
幾點與幾點半,,1-n-08,幾月幾日星期幾,,1-n-08
日、時、分、秒,時、分、秒,3-n-13,日、時、分、秒,1 日 24 時,3-n-13
日、時、分、秒,1 日 24 時,3-n-13,日、時、分、秒,平年與閏年,3-n-13
日、時、分、秒,平年與閏年,3-n-13,日、時、分、秒,時間長短的比較,3-n-13
日、時、分、秒,時間長短的比較,3-n-13,日、時、分、秒,時刻與時間,3-n-13
日、時、分、秒,時刻與時間,3-n-13,日、時、分、秒,時間的加減,3-n-13
時間的加減計算,時間的換算,4-n-13,時間的加減計算,時間量的加減計算,4-n-13
時間的加減計算,時間量的加減計算,4-n-13,時間的加減計算,兩時刻之間的時間量,4-n-13
時間的加減計算,兩時刻之間的時間量,4-n-13,時間的加減計算,跨日的時間加減,4-n-13
時間的乘除計算,時間單位換算的複習,5-n-15,時間的乘除計算,時、分、秒的乘除,5-n-15
時間的乘除計算,時、分、秒的乘除,5-n-15,時間的乘除計算,日、時、分的乘除,5-n-15
時間的乘除計算,日、時、分的乘除,5-n-15,時間的乘除計算,時間乘除的應用,5-n-15
公升與毫升,認識公升與毫升,3-n-15,公升與毫升,公升與毫升的單位換算,3-n-15
公升與毫升,公升與毫升的單位換算,3-n-15,公升與毫升,容量的計算,3-n-15
公斤與公克,認識公克,3-n-16,公斤與公克,認識公斤,3-n-16
公斤與公克,認識公斤,3-n-16,公斤與公克,單位換算與比較,3-n-16
一位小數,認識一位小數,3-n-12,二位小數,二位小數,4-n-11
生活中的大單位,平方公尺、公畝和公頃,5-n-17,生活中的大單位,平方公尺、公畝、公頃和平方公里,5-n-17
面積-平方公分,面積與平方公分,"3-n-18,3-s-05",面積-平方公分,用乘法求面積,"3-n-18,3-s-05"
一位小數,認識一位小數,3-n-12,等值分數,分數和小數的互換,"4-n-10,4-n-09"
周長與面積,長方形、正方形的面積公式,"4-s-09,4-n-18",周長與面積,複合圖形的面積,"4-s-09,4-n-18"
周長與面積,平方公尺與平方公分,4-n-17,周長與面積,複合圖形的面積,4-n-17
周長與面積,複合圖形的面積,"4-n-17,4-s-09,4-n-18",周長與面積,應用問題,"4-n-17,4-s-09,4-n-18"
體積-立方公分,大小與體積,4-n-19,體積-立方公分,認識立方公分,4-n-19
體積-立方公分,認識立方公分,4-n-19,體積-立方公分,複合形體的體積,4-n-19
乘法與除法的關係,乘法和除法的關係,3-a-01,乘法與除法的關係,應用問題,3-a-01
兩步驟應用問題-加減與除,加與除的兩步驟問題,3-n-07,兩步驟應用問題-加減與除,【基礎】減與除的兩步驟問題,3-n-07
兩步驟應用問題-連乘與乘除,連乘的兩步驟問題,3-n-08,兩步驟應用問題-連乘與乘除,【基礎】乘除的兩步驟問題,3-n-08
容量、容積和體積,容積,5-n-21,容量、容積和體積,容積與容量,5-n-21
容量、容積和體積,容積與容量,5-n-21,容量、容積和體積,液體和固體的體積,5-n-21
速率,認識速率,"6-n-11,6-n-12",速率,單位換算,"6-n-11,6-n-12"
速率,單位換算,6-n-12,速率,距離和時間（固定速率）,6-n-12
速率,距離和時間（固定速率）,6-n-12,速率,距離和速率（固定時間）,6-n-12
速率,距離和速率（固定時間）,6-n-12,速率,平均速率,6-n-12
基準量與比較量,認識基準量與比較量,6-n-09,基準量與比較量,透過線段圖解析問題,6-n-09
認識形狀,,1-s-02,平面圖形與立體形體,,1-s-02
周界與周長,周長的實測與計算,3-s-02,周界與周長,邊長的計算,3-s-02
三角形,三角形的分類,"4-s-08,4-s-01,4-s-02",四邊形,認識四邊形,"4-s-08,4-s-01,4-s-02"
三角形,全等圖形,4-s-03,線對稱圖形,認識線對稱圖形,5-s-04
三角形與多邊形,兩邊和大於第三邊,"5-s-01,5-s-02",三角形與多邊形,三角和是180度,"5-s-01,5-s-02"
三角形與多邊形,三角和是180度,"5-s-01,5-s-02",三角形與多邊形,認識多邊形,"5-s-01,5-s-02"
三角形與多邊形,認識多邊形,"5-s-01,5-s-02",三角形與多邊形,認識正多邊形,"5-s-01,5-s-02"
三角形與多邊形,認識正多邊形,"5-s-01,5-s-02",三角形與多邊形,多邊形的內角和,"5-s-01,5-s-02"
三角形與多邊形,多邊形的內角和,"5-s-01,5-s-02",三角形與多邊形,多邊形的周長,"5-s-01,5-s-02"
角度,使用量角器,"4-s-04,4-n-16",角度,角度的測量與比較,"4-s-04,4-n-16"
角度,角度的測量與比較,"4-s-04,4-n-16",角度,角的種類,"4-s-04,4-n-16"
角度,角的種類,"4-s-04,4-n-16",角度,角度的加減,"4-s-04,4-n-16"
扇形,認識扇形,5-s-03,扇形,認識圓心角,5-s-03
扇形,認識圓心角,5-s-03,扇形,扇形的應用,5-s-03
三角形與四邊形的面積,三角形的面積(1),"5-s-05,5-n-18",三角形與四邊形的面積,三角形的面積(2),"5-s-05,5-n-18"
三角形與四邊形的面積,三角形的面積(2),"5-s-05,5-n-18",三角形與四邊形的面積,平行四邊形的面積,"5-s-05,5-n-18"
三角形與四邊形的面積,平行四邊形的面積,"5-s-05,5-n-18",三角形與四邊形的面積,梯形的面積,"5-s-05,5-n-18"
三角形與四邊形的面積,梯形的面積,"5-s-05,5-n-18",三角形與四邊形的面積,面積公式的應用,"5-s-05,5-n-18"
線對稱圖形,認識線對稱圖形,5-s-04,線對稱圖形,對稱點、對稱角，對稱邊,5-s-04
線對稱圖形,對稱點、對稱角，對稱邊,5-s-04,線對稱圖形,常見的平面圖形,5-s-04
縮放圖與比例尺,放大和縮小,6-s-02,縮放圖與比例尺,繪製放大圖和縮小圖,6-s-02
縮放圖與比例尺,繪製放大圖和縮小圖,6-s-02,縮放圖與比例尺,比例尺,6-s-02
圓周率與圓周長,圓周率,"6-s-03,6-n-14",圓周率與圓周長,圓周長的應用,"6-s-03,6-n-14"
圓周率與圓周長,圓周長的應用,"6-s-03,6-n-14",扇形弧長,,"6-s-03,6-n-14"
扇形弧長,,"6-s-03,6-n-14",圓面積,圓面積公式,"6-s-03,6-n-14"
圓面積,圓面積公式,"6-s-03,6-n-14",圓面積,圓面積的應用,"6-s-03,6-n-14"
圓面積,圓面積的應用,"6-s-03,6-n-14",扇形面積,扇形面積,"6-s-03,6-n-14"
扇形面積,扇形面積,"6-s-03,6-n-14",扇形面積,複合圖形面積,"6-s-03,6-n-14"
正方體與長方體體積,正方體和長方體的體積,"5-s-07,5-n-19,5-n-20",正方體與長方體體積,立方公尺,"5-s-07,5-n-19,5-n-20"
