prev_chapter,prev_section,prev_cg,next_chapter,next_section,next_cg
正方體與長方體體積,立方公尺,"5-s-07,5-n-20",正方體與長方體體積,複合形體的體積,"5-s-07,5-n-20"
正方體與長方體體積,複合形體的體積,"5-s-07,5-n-20",正方體與長方體的表面積,展開圖,"5-s-07,5-n-20"
正方體與長方體的表面積,展開圖,"5-s-07,5-n-20",正方體與長方體的表面積,表面積,"5-s-07,5-n-20"
正方體與長方體的表面積,表面積,"5-s-07,5-n-20",正方體與長方體的表面積,複合形體的表面積,"5-s-07,5-n-20"
柱體、錐體和球,形體的分類,5-s-06,柱體、錐體和球,認識柱體,5-s-06
柱體、錐體和球,認識柱體,5-s-06,柱體、錐體和球,認識錐體,5-s-06
柱體表面積,柱體的表面積,"6-s-01,6-s-05,6-n-15",柱體的體積,柱體的體積,"6-s-01,6-s-05,6-n-15"
柱體的體積,柱體的體積,"6-s-01,6-s-05,6-n-15",柱體的體積,複合形體的體積,"6-s-01,6-s-05,6-n-15"
兩步驟問題併式-連加、連減、加減,連加、連減的併式,4-n-04,兩步驟問題併式-連加、連減、加減,加減混合併式,4-n-04
兩步驟問題併式-連加、連減、加減,加減混合併式,4-n-04,兩步驟問題併式-連乘、連除、乘除,連乘的併式,4-n-04
兩步驟問題併式-連乘、連除、乘除,連乘的併式,4-n-04,兩步驟問題併式-連乘、連除、乘除,連除的併式,4-n-04
兩步驟問題併式-連乘、連除、乘除,連除的併式,4-n-04,兩步驟問題併式-連乘、連除、乘除,乘除混合併式,4-n-04
兩步驟問題併式-連乘、連除、乘除,乘除混合併式,4-n-04,兩步驟問題併式-乘與加減、除與加減,乘與加減的兩步驟問題,4-n-04
兩步驟問題併式-乘與加減、除與加減,乘與加減的兩步驟問題,4-n-04,兩步驟問題併式-乘與加減、除與加減,乘與加減的併式,4-n-04
兩步驟問題併式-乘與加減、除與加減,乘與加減的併式,4-n-04,兩步驟問題併式-乘與加減、除與加減,除與加減的兩步驟問題,4-n-04
兩步驟問題併式-乘與加減、除與加減,除與加減的兩步驟問題,4-n-04,兩步驟問題併式-乘與加減、除與加減,除與加減的併式,4-n-04
整數四則混合計算,加減的計算,4-a-02,整數四則混合計算,計算規則：先乘除後加減、括號先算,4-a-02
整數四則混合計算,計算規則：先乘除後加減、括號先算,"4-n-05,4-a-02",整數四則混合計算,乘除的計算,"4-n-05,4-a-02"
整數四則混合計算,乘除的計算,"4-a-01,5-a-02",整數的四則運算,乘除計算規則,"4-a-01,5-a-02"
整數四則混合計算,乘除的計算,"4-n-05,4-a-02",整數四則混合計算,有括號的四則混合計算,"4-n-05,4-a-02"
整數的四則運算,加減計算規則,5-n-03,整數的四則運算,四則混合計算,5-n-03
整數的四則運算,乘除計算規則,5-a-03,整數的四則運算,四則混合計算,5-a-03
整數的四則運算,四則混合計算,5-n-03,整數的四則運算,乘法對加減法的分配律,5-n-03
整數的四則運算,四則混合計算,"5-a-03,5-n-02",整數的四則運算,解題,"5-a-03,5-n-02"
分數與小數的四則運算,括號先算、先乘除後加減,6-n-05,分數與小數的四則運算,分數的分配律、結合律,6-n-05
分數與小數的四則運算,分數的分配律、結合律,6-n-05,分數與小數的四則運算,分數加減混合計算,6-n-05
分數與小數的四則運算,分數加減混合計算,6-n-05,分數與小數的四則運算,分數乘除混合計算,6-n-05
分數與小數的四則運算,分數乘除混合計算,6-n-05,分數與小數的四則運算,分、小數混合的單步驟運算,6-n-05
分數與小數的四則運算,小數的連減、連除,6-n-08,分數與小數的四則運算,小數的分配律,6-n-08
分數與小數的四則運算,小數的分配律,6-n-08,分數與小數的四則運算,小數四則運算的簡化,6-n-08
分數與小數的四則運算,小數四則運算的簡化,6-n-08,分數與小數的四則運算,分、小數混合的單步驟運算,6-n-08
分數與小數的四則運算,分、小數混合的單步驟運算,"6-n-08,6-n-05",分數與小數的四則運算,分、小數混合的簡化計算,"6-n-08,6-n-05"
分數與小數的四則運算,分、小數混合的簡化計算,"6-n-08,6-n-05",分數與小數的四則運算,解題,"6-n-08,6-n-05"
等量公理,等式,6-a-01,等量公理,加減的等量公理,6-a-01
等量公理,加減的等量公理,"6-a-01,6-a-02",等量公理,乘除的等量公理,"6-a-01,6-a-02"
等量公理,乘除的等量公理,"6-a-01,6-a-02",等量公理,運用等量公理求未知數的解,"6-a-01,6-a-02"
怎樣解題：簡化與歸納問題,簡化問題1,"6-a-04,6-n-13",怎樣解題：簡化與歸納問題,簡化問題2,"6-a-04,6-n-13"
怎樣解題：簡化與歸納問題,簡化問題2,"6-a-04,6-n-13",怎樣解題：簡化與歸納問題,間隔問題,"6-a-04,6-n-13"
怎樣解題：簡化與歸納問題,間隔問題,"6-a-04,6-n-13",怎樣解題：簡化與歸納問題,列表找規則,"6-a-04,6-n-13"
怎樣解題：簡化與歸納問題,列表找規則,"6-a-04,6-n-13",怎樣解題：數量關係,和差問題,"6-a-04,6-n-13"
怎樣解題：數量關係,和差問題,"6-a-04,6-n-13",怎樣解題：數量關係,雞兔同籠問題,"6-a-04,6-n-13"
怎樣解題：數量關係,雞兔同籠問題,"6-a-04,6-n-13",怎樣解題：數量關係,年齡問題,"6-a-04,6-n-13"
怎樣解題：數量關係,年齡問題,"6-a-04,6-n-13",怎樣解題：數量關係,追趕問題,"6-a-04,6-n-13"
怎樣解題：數量關係,追趕問題,"6-a-04,6-n-13",怎樣解題：數量關係,流水問題,"6-a-04,6-n-13"
生活中的表格,一維表格,3-d-01,生活中的表格,二維表格,3-d-01
100以內的數,,1-n-01,分與合,,1-n-04
數的順序和多少,,1-n-03,分與合,,1-n-04
10000 以內的數,數的大小比較,3-n-01,10000 以內的加減,10000 以內的加法,3-n-02
7、8 的乘法,,2-n-08,乘法的直式計算,十、百的乘法,3-n-04
兩步驟應用問題 (加、減),,2-n-09,加減併式與估算,三個數的加減計算,3-n-03
分裝與平分,,2-n-07,認識除法,除法算式,3-n-05
加減併式與估算,加減估算,3-n-10,概數,無條件進入,4-n-06
同分母分數加減,分數與量,3-n-11,帶分數與假分數,真分數、假分數、帶分數,4-n-08
分數的加減與整數倍,分數的整數倍,4-n-08,等值分數,用分數牆認識等值分數,4-n-09
一位小數,一位小數的加減併式,3-n-12,等值分數,用分數牆認識等值分數,4-n-09
同分母分數加減,分數與量,3-n-11,整數相除之分數表示,,4-n-07
倍數與公倍數,判別 2、3、5、10 的倍數,5-n-04,擴分、約分和通分,擴分和等值分數,5-n-06
擴分、約分和通分,約分和等值分數,5-n-06,擴分、約分和通分,通分和分數的大小比較,5-n-07
倍數與公倍數,運用最大公因數和最小公倍數解題,5-n-05,擴分、約分和通分,通分和分數的大小比較,5-n-07
擴分、約分和通分,約分和等值分數,5-n-06,分數的乘法,分數乘以整數,5-n-08
分數的乘法,被乘數、乘數和積的關係,5-n-08,整數、分數除以整數,分數除以整數,5-n-09
整數、分數除以整數,時間的換算,5-n-09,分數的除法,分數除法的意義,6-n-04
擴分、約分和通分,約分和等值分數,5-n-06,比與比值,比和比值,6-n-09
比率與百分率,百分率的應用(2),5-n-14,比與比值,比和比值,6-n-09
整數、分數除以整數,整數除以整數,4-n-07,比與比值,比和比值,6-n-09
基準量與比較量,透過線段圖解析問題,6-n-09,正比,正比關係,6-n-10
一位小數,認識一位小數,3-n-12,一位小數,一位小數與數線,3-n-09
一位小數,一位小數的加減併式,3-n-12,二位小數,二位小數,4-n-11
二位小數,二位小數與量,4-n-11,二位小數,小數的加減,4-n-12
一位小數,一位小數的加、減法,3-n-12,二位小數,小數的加減,4-n-12
擴分、約分和通分,分數數線,4-n-10,多位小數的加減,在數線上標示分數與小數,5-n-13
一位小數,一位小數與數線,3-n-09,多位小數的加減,小數數線,5-n-13
小數乘以整數,乘以二位整數,4-n-12,小數的乘法,整數乘以小數,5-n-11
分數的乘法,分數乘以整數,5-n-08,小數的乘法,整數乘以小數,5-n-11
整數、分數除以整數,整數除以整數,4-n-07,整數、小數除以整數,整數除以整數,5-n-12
整數、小數除以整數,小數除以整數,5-n-12,比率與百分率,認識比率,5-n-14
分數的除法,乘法和除法的應用,6-n-04,小數的除法,小數除以小數,6-n-06
整數、小數除以整數,小數除以整數,5-n-12,小數的除法,小數除以小數,6-n-06
多位小數的加減,小數的比較和加減,5-n-10,估算,小數的四捨五入,6-n-07
小數的乘法,小數乘以小數,5-n-11,估算,小數的四捨五入,6-n-07
整數、小數除以整數,小數除以整數,5-n-12,估算,小數的四捨五入,6-n-07
概數,概數的應用,4-n-06,估算,小數的四捨五入,6-n-07
生活中的大單位,平方公尺、公畝、公頃和平方公里,5-n-17,估算,小數的四捨五入,6-n-07
倍數與公倍數,判別 2、3、5、10 的倍數,5-n-04,因數與公因數,公因數,5-n-05
擴分、約分和通分,約分和等值分數,5-n-06,質因數分解與短除法,最簡分數,6-n-03
兩步驟應用問題 (加、減),,2-n-09,毫米,認識毫米,3-n-14
兩步驟應用問題 (加乘、減乘),,2-n-10,毫米,認識毫米,3-n-14
兩步驟應用問題-加減與除,【基礎】減與除的兩步驟問題,3-n-07,毫米,認識毫米,3-n-14
一位小數,一位小數的加減併式,3-n-12,毫米,認識毫米,3-n-14
認識長度,,1-n-09,毫米,認識毫米,3-n-14
10000 以內的數,數的大小比較,3-n-01,公里,認識公里,4-n-15
概數,概數的應用,4-n-06,公里,認識公里,4-n-15
毫米,公分、毫米的加、減法,3-n-14,公里,認識公里,4-n-15
年、月、日,,2-n-13,日、時、分、秒,時、分、秒,3-n-13
幾點幾分,,2-n-12,日、時、分、秒,時、分、秒,3-n-13
日、時、分、秒,時間的加減,3-n-13,時間的加減計算,時間的換算,4-n-13
公里,公里的應用,4-n-15,兩個單位的計算,公里和公尺的計算,4-n-14
時間的加減計算,跨日的時間加減,4-n-13,時間的乘除計算,時間單位換算的複習,5-n-15
周長與面積,平方公尺與平方公分,4-n-17,生活中的大單位,平方公尺、公畝和公頃,5-n-17
公里,公里的應用,4-n-15,生活中的大單位,平方公尺、公畝和公頃,5-n-17
周界與周長,邊長的計算,3-s-02,周長與面積,長方形、正方形的周長公式,"4-s-09,4-n-18"
周長與面積,長方形、正方形的周長公式,4-n-18,周長與面積,應用問題,4-n-17
角、正方形與長方形,正方形與長方形,3-s-07,周長與面積,長方形、正方形的周長公式,4-n-18
四邊形,認識四邊形,4-s-02,周長與面積,長方形、正方形的周長公式,4-n-18
面積-平方公分,用乘法求面積,3-n-18,周長與面積,長方形、正方形的面積公式,"4-s-09,4-n-18"
周界與周長,圖形的內部、外部與周界,3-s-01,周長與面積,長方形、正方形的周長公式,4-n-18
面積-平方公分,用乘法求面積,3-n-18,周長與面積,平方公尺與平方公分,4-n-17
平面圖形與立體形體,,2-s-01,體積-立方公分,大小與體積,4-n-19
認識除法,除法的應用,3-n-05,乘法與除法的關係,乘法和除法的關係,3-a-01
認識除法,除法的應用,3-n-05,兩步驟應用問題-加減與除,加與除的兩步驟問題,3-n-07
乘法-倍數與整十、整百倍,倍數與整十、整百倍的應用,3-n-04,兩步驟應用問題-連乘與乘除,連乘的兩步驟問題,3-n-08
分類整理,,1-d-01,認識形狀,,1-s-02
周界與周長,圖形的內部、外部與周界,3-s-01,周界與周長,周長的實測與計算,3-s-02
角、正方形與長方形,正方形與長方形,3-s-07,三角形,三角形的分類,"4-s-01,4-s-02"
三角形,三角形的分類,"4-s-01,4-s-02",三角形,全等圖形,4-s-03
周長與面積,應用問題,4-n-18,三角形,全等圖形,4-s-03
角、正方形與長方形,認識角,"3-n-17,3-s-04",角度,使用量角器,4-n-16
四邊形,垂直與平行,4-s-06,角度,使用量角器,4-n-16
四邊形,全等圖形,4-s-03,角度,使用量角器,4-n-16
認識圓,認識圓,3-s-03,扇形,認識扇形,5-s-03
線對稱圖形,常見的平面圖形,5-s-04,三角形與四邊形的面積,三角形的面積(1),5-n-18
周長與面積,應用問題,"4-n-17,4-n-18",三角形與四邊形的面積,三角形的面積(1),5-n-18
四邊形,垂直與平行,4-s-06,三角形與四邊形的面積,三角形的面積(1),5-n-18
四邊形,認識四邊形,4-s-02,三角形與四邊形的面積,三角形的面積(1),5-n-18
分數的乘法,被乘數、乘數和積的關係,5-n-08,三角形與四邊形的面積,三角形的面積(1),5-n-18
小數的乘法,小數乘法的應用,5-n-11,三角形與四邊形的面積,三角形的面積(1),5-n-18
面積-平方公分,切割和拼湊,3-s-06,三角形與四邊形的面積,三角形的面積(1),5-n-18
四邊形,全等圖形,4-s-03,線對稱圖形,認識線對稱圖形,5-s-04
認識圓,認識圓,3-s-03,圓周率與圓周長,圓周率,"6-s-03,6-n-14"
體積-立方公分,複合形體的體積,4-n-19,正方體與長方體體積,正方體和長方體的體積,"5-n-19,5-n-20"
正方體與長方體體積,正方體和長方體的體積,5-n-19,容量、容積和體積,容積,5-n-21
四邊形,垂直與平行,4-s-06,柱體、錐體和球,形體的分類,5-s-06
三角形與多邊形,多邊形的周長,"5-s-01,5-s-02",柱體表面積,柱體的表面積,6-s-01
三角形與四邊形的面積,面積公式的應用,"5-s-05,5-n-18",柱體表面積,柱體的表面積,6-n-15
扇形面積,複合圖形面積,"6-s-03,6-n-14",柱體表面積,柱體的表面積,6-n-15
兩步驟應用問題 (加乘、減乘),,2-n-10,兩步驟問題併式-連加、連減、加減,連加、連減的併式,4-n-04
兩步驟應用問題-加減與除,【基礎】減與除的兩步驟問題,3-n-07,兩步驟問題併式-連加、連減、加減,連加、連減的併式,4-n-04
兩步驟應用問題-連乘與乘除,【基礎】乘除的兩步驟問題,3-n-08,兩步驟問題併式-連加、連減、加減,連加、連減的併式,4-n-04
加減應用問題,,2-a-02,整數四則混合計算,加減的計算,4-a-02
兩步驟問題併式-乘與加減、除與加減,除與加減的併式,4-n-04,整數四則混合計算,加減的計算,4-a-02
整數四則混合計算,有括號的四則混合計算,"4-n-05,4-a-02",整數的四則運算,加減計算規則,5-n-03
整數的四則運算,乘法對加減法的分配律,"5-n-03,5-a-01",分數與小數的四則運算,小數的分配律,6-n-08
整數的四則運算,解題,5-n-02,分數與小數的四則運算,括號先算、先乘除後加減,6-n-05
整數的四則運算,乘法對加減法的分配律,"5-n-03,5-a-01",分數與小數的四則運算,分數的分配律、結合律,6-n-05
整數的四則運算,解題,5-n-02,分數與小數的四則運算,小數的連減、連除,6-n-08
100以內的數,,1-n-01,認識長度,,1-n-09
20以內的減法,,1-n-04,認識長度,,1-n-09
幾月幾日星期幾,,1-n-08,幾點幾分,,2-n-12
面積-平方公分,用乘法求面積,3-s-05,面積-平方公分,切割和拼湊,3-s-06
平面圖形與立體形體,,2-s-01,角、正方形與長方形,認識角,"3-n-17,3-s-04"
平面圖形與立體形體,,2-s-01,角、正方形與長方形,正方形與長方形,3-s-07
角、正方形與長方形,認識角,"3-n-17,3-s-04",角、正方形與長方形,正方形與長方形,3-s-07
20以內的減法,,"1-n-04,1-n-05",加減應用問題,,"1-a-02,2-a-02"
1000 以內的加減,,2-n-04,兩步驟應用問題 (加、減),,2-n-09
加減應用問題,,2-a-02,兩步驟應用問題 (加、減),,2-n-09
7、8 的乘法,,2-n-08,兩步驟應用問題 (加乘、減乘),,2-n-10
角、正方形與長方形,正方形與長方形,3-s-07,周界與周長,圖形的內部、外部與周界,3-s-01
四邊形,認識四邊形,"4-s-08,4-s-01,4-s-02,4-s-07",四邊形,垂直與平行,4-s-06
角、正方形與長方形,正方形與長方形,3-s-07,四邊形,垂直與平行,4-s-06
角度,角度的加減,4-n-16,角度,旋轉角,4-s-05
讀長條圖與折線圖,長條圖,4-d-01,繪製長條圖與折線圖,,6-d-01
讀長條圖與折線圖,折線圖,4-d-02,繪製長條圖與折線圖,,6-d-02
乘法的直式計算,進位乘法,3-n-04,小數乘以整數,乘以一位整數,4-n-12
整數四則混合計算,計算規則：先乘除後加減、括號先算,"4-n-05,4-a-02",分數與小數的四則運算,括號先算、先乘除後加減,6-n-05
角度,角度的測量與比較,"4-s-04,4-n-16",三角形與多邊形,三角和是180度,"5-s-01,5-s-02"
四邊形,認識四邊形,"4-s-01,4-s-02",四邊形,全等圖形,4-s-03
扇形,扇形的應用,5-s-03,扇形面積,扇形面積,"6-s-03,6-n-14"
角度,角度的測量與比較,"4-s-04,4-n-16",角度,旋轉角,4-s-05
公升與毫升,公升與毫升的單位換算,3-n-15,兩個單位的計算,公升和毫升的計算,4-n-14
公升與毫升,容量的計算,3-n-15,容量、容積和體積,容積,5-n-21
公斤與公克,單位換算與比較,3-n-16,兩個單位的計算,公斤和公克的計算,4-n-14
兩個單位的計算,公斤和公克的計算,4-n-14,生活中的大單位,公斤和公噸,5-n-16
比與比值,解題,6-n-09,縮放圖與比例尺,放大和縮小,6-s-02
生活中的表格,二維表格,3-d-01,讀長條圖與折線圖,長條圖,4-d-01
生活中的表格,二維表格,3-d-01,讀長條圖與折線圖,折線圖,4-d-02
生活中的表格,一維表格,3-d-01,圓形圖,,6-d-03
比率與百分率,百分率的應用(2),5-n-14,圓形圖,,6-d-03
扇形,認識圓心角,5-s-03,圓形圖,,6-d-03
質因數分解與短除法,質因數分解,6-n-01,質因數分解與短除法,最大公因數,"6-n-03,6-n-02"
倍數與公倍數,倍數,5-n-04,質因數分解與短除法,質數與合數,6-n-01
倍數與公倍數,最小公倍數,5-n-05,質因數分解與短除法,最大公因數,"6-n-03,6-n-02"
認識除法,除法的應用,3-n-05,除以一位數,兩位數除以一位數,3-n-06
除以一位數,三位數除以一位數,3-n-06,整數的除法,四位數除以一位數,4-n-03
整數的除法,三位數除以二位數,4-n-03,多位數的乘除,三、四位數除以三位數,5-n-01
乘法的直式計算,乘以一位數的應用,3-n-04,整數的乘法,乘數為一位數,4-n-03
整數的乘法,一、二位數乘以三位數,4-n-03,多位數的乘除,乘數是三位數的乘法,5-n-01
10000 以內的數,數的大小比較,3-n-01,公斤與公克,認識公斤,3-n-16
1000 以內的數,,2-n-01,10000 以內的數,10000 以內的數的讀寫,3-n-01
10000 以內的數,數的大小比較,3-n-01,一億以內的數,十萬以內的數,4-n-01
等值分數,異分母分數比大小,4-n-09,擴分、約分和通分,擴分和等值分數,5-n-06
周長與面積,長方形、正方形的面積公式,"4-s-09,4-n-18",正方體與長方體的表面積,表面積,"5-s-07,5-n-20"
比與比值,解題,6-n-09,速率,認識速率,"6-n-11,6-n-12"
基準量與比較量,透過線段圖解析問題,6-n-09,怎樣解題：簡化與歸納問題,簡化問題1,"6-a-04,6-n-13"
20以內的減法,,"1-n-04,1-n-05",加減應用,,1-n-06
柱體表面積,面與面、面與線的關係,6-s-04,柱體表面積,面與面、面與線的關係,6-s-04
列式與解題,,5-a-04,等量公理,等式,6-a-01